,gene,gene_link,number_of_families,novel_gene,phenotype_class,report_link
218,IGF1R,https://mygene2.org/MyGene2/variantsbygene?gene=IGF1R,2,,,
219,INTS1,https://mygene2.org/MyGene2/variantsbygene?gene=INTS1,2,,,
220,IQCE,https://mygene2.org/MyGene2/variantsbygene?gene=IQCE,2,,,
221,KANK1,https://mygene2.org/MyGene2/variantsbygene?gene=KANK1,2,,,
222,KCNB1,https://mygene2.org/MyGene2/variantsbygene?gene=KCNB1,2,N,"Explained, known phenotype",https://mygene2.org/MyGene2/matchreport?q=KCNB1
223,KDM6A,https://mygene2.org/MyGene2/variantsbygene?gene=KDM6A,2,,,
224,KDR,https://mygene2.org/MyGene2/variantsbygene?gene=KDR,2,,,
225,KLF8,https://mygene2.org/MyGene2/variantsbygene?gene=KLF8,2,,,
226,KLHL3,https://mygene2.org/MyGene2/variantsbygene?gene=KLHL3,2,N,"Explained, known phenotype",https://mygene2.org/MyGene2/matchreport?q=KLHL3
227,LARS,https://mygene2.org/MyGene2/variantsbygene?gene=LARS,2,N,"Explained, known phenotype",https://mygene2.org/MyGene2/matchreport?q=LARS
228,LIPT1,https://mygene2.org/MyGene2/variantsbygene?gene=LIPT1,2,,,
229,LRP2,https://mygene2.org/MyGene2/variantsbygene?gene=LRP2,2,,,
230,LTBP2,https://mygene2.org/MyGene2/variantsbygene?gene=LTBP2,2,,,
231,MBD5,https://mygene2.org/MyGene2/variantsbygene?gene=MBD5,2,N,"Explained, known phenotype",https://mygene2.org/MyGene2/matchreport?q=MBD5
232,MED12,https://mygene2.org/MyGene2/variantsbygene?gene=MED12,2,N,"Explained, known phenotype",https://mygene2.org/MyGene2/matchreport?q=MED12
233,MEIS1,https://mygene2.org/MyGene2/variantsbygene?gene=MEIS1,2,,,
234,MICU1,https://mygene2.org/MyGene2/variantsbygene?gene=MICU1,2,,,
235,MORC1,https://mygene2.org/MyGene2/variantsbygene?gene=MORC1,2,,,
236,MSRA,https://mygene2.org/MyGene2/variantsbygene?gene=MSRA,2,Y,Novel phenotype,https://mygene2.org/MyGene2/matchreport?q=MSRA
237,MT-CYB,https://mygene2.org/MyGene2/variantsbygene?gene=MT-CYB,2,,,
238,MT-TP,https://mygene2.org/MyGene2/variantsbygene?gene=MT-TP,2,,,
239,MXRA5,https://mygene2.org/MyGene2/variantsbygene?gene=MXRA5,2,,,
240,MYBPC2,https://mygene2.org/MyGene2/variantsbygene?gene=MYBPC2,2,,,
241,MYH11,https://mygene2.org/MyGene2/variantsbygene?gene=MYH11,2,N,"Explained, known phenotype",https://mygene2.org/MyGene2/matchreport?q=MYH11
242,MYH2,https://mygene2.org/MyGene2/variantsbygene?gene=MYH2,2,,,
243,MYH7B,https://mygene2.org/MyGene2/variantsbygene?gene=MYH7B,2,,,
244,MYLK,https://mygene2.org/MyGene2/variantsbygene?gene=MYLK,2,N,"Explained, known phenotype",https://mygene2.org/MyGene2/matchreport?q=MYLK
245,MYLPF,https://mygene2.org/MyGene2/variantsbygene?gene=MYLPF,2,Y,Novel phenotype,https://mygene2.org/MyGene2/matchreport?q=MYLPF
246,MYO7A,https://mygene2.org/MyGene2/variantsbygene?gene=MYO7A,2,,,
247,NAV2,https://mygene2.org/MyGene2/variantsbygene?gene=NAV2,2,,,
248,NCOA1,https://mygene2.org/MyGene2/variantsbygene?gene=NCOA1,2,,,
249,NEFL,https://mygene2.org/MyGene2/variantsbygene?gene=NEFL,2,,,
250,NMNAT1,https://mygene2.org/MyGene2/variantsbygene?gene=NMNAT1,2,,,
251,NOVA1,https://mygene2.org/MyGene2/variantsbygene?gene=NOVA1,2,Y,Novel phenotype,https://mygene2.org/MyGene2/matchreport?q=NOVA1
252,NRXN3,https://mygene2.org/MyGene2/variantsbygene?gene=NRXN3,2,,,
253,NUBPL,https://mygene2.org/MyGene2/variantsbygene?gene=NUBPL,2,N,"Explained, known phenotype",https://mygene2.org/MyGene2/matchreport?q=NUBPL
254,OPHN1,https://mygene2.org/MyGene2/variantsbygene?gene=OPHN1,2,N,"Explained, known phenotype",https://mygene2.org/MyGene2/matchreport?q=OPHN1
255,PADI3,https://mygene2.org/MyGene2/variantsbygene?gene=PADI3,2,,,
256,PAX2,https://mygene2.org/MyGene2/variantsbygene?gene=PAX2,2,N,"Explained, known phenotype",https://mygene2.org/MyGene2/matchreport?q=PAX2
257,PCDH19,https://mygene2.org/MyGene2/variantsbygene?gene=PCDH19,2,,,
258,PDE4D,https://mygene2.org/MyGene2/variantsbygene?gene=PDE4D,2,,,
259,PFAS,https://mygene2.org/MyGene2/variantsbygene?gene=PFAS,2,,,
260,PHF8,https://mygene2.org/MyGene2/variantsbygene?gene=PHF8,2,,,
261,PI4KA,https://mygene2.org/MyGene2/variantsbygene?gene=PI4KA,2,,,
262,PIK3R1,https://mygene2.org/MyGene2/variantsbygene?gene=PIK3R1,2,,,
263,PLA2G6,https://mygene2.org/MyGene2/variantsbygene?gene=PLA2G6,2,,,
264,PLCG2,https://mygene2.org/MyGene2/variantsbygene?gene=PLCG2,2,,,
265,PLEKHM1,https://mygene2.org/MyGene2/variantsbygene?gene=PLEKHM1,2,,,
266,PLG,https://mygene2.org/MyGene2/variantsbygene?gene=PLG,2,,,
267,PLK3,https://mygene2.org/MyGene2/variantsbygene?gene=PLK3,2,,,
268,POLG,https://mygene2.org/MyGene2/variantsbygene?gene=POLG,2,N,"Explained, known phenotype",https://mygene2.org/MyGene2/matchreport?q=POLG
269,POLR3A,https://mygene2.org/MyGene2/variantsbygene?gene=POLR3A,2,N,Novel phenotype,https://mygene2.org/MyGene2/matchreport?q=POLR3A
270,PPP2R5C,https://mygene2.org/MyGene2/variantsbygene?gene=PPP2R5C,2,,,
271,PPT1,https://mygene2.org/MyGene2/variantsbygene?gene=PPT1,2,,,
272,PROX1,https://mygene2.org/MyGene2/variantsbygene?gene=PROX1,2,,,
273,PTCH1,https://mygene2.org/MyGene2/variantsbygene?gene=PTCH1,2,,,
274,PTEN,https://mygene2.org/MyGene2/variantsbygene?gene=PTEN,2,,,
275,PTPN11,https://mygene2.org/MyGene2/variantsbygene?gene=PTPN11,2,,,
276,PUF60,https://mygene2.org/MyGene2/variantsbygene?gene=PUF60,2,,,
277,RASAL2,https://mygene2.org/MyGene2/variantsbygene?gene=RASAL2,2,Y,Novel phenotype,https://mygene2.org/MyGene2/matchreport?q=RASAL2
278,REV3L,https://mygene2.org/MyGene2/variantsbygene?gene=REV3L,2,,,
279,RTTN,https://mygene2.org/MyGene2/variantsbygene?gene=RTTN,2,,,
280,SAMD9L,https://mygene2.org/MyGene2/variantsbygene?gene=SAMD9L,2,,,
281,SBF1,https://mygene2.org/MyGene2/variantsbygene?gene=SBF1,2,,,
282,SCARA3,https://mygene2.org/MyGene2/variantsbygene?gene=SCARA3,2,,,
283,SCN5A,https://mygene2.org/MyGene2/variantsbygene?gene=SCN5A,2,,,
284,SCN9A,https://mygene2.org/MyGene2/variantsbygene?gene=SCN9A,2,,,
285,SDHB,https://mygene2.org/MyGene2/variantsbygene?gene=SDHB,2,,,
286,SETBP1,https://mygene2.org/MyGene2/variantsbygene?gene=SETBP1,2,N,"Explained, known phenotype",https://mygene2.org/MyGene2/matchreport?q=SETBP1
287,SETD5,https://mygene2.org/MyGene2/variantsbygene?gene=SETD5,2,,,
288,SLC16A2,https://mygene2.org/MyGene2/variantsbygene?gene=SLC16A2,2,,,
289,SLC22A12,https://mygene2.org/MyGene2/variantsbygene?gene=SLC22A12,2,N,"Explained, known phenotype",https://mygene2.org/MyGene2/matchreport?q=SLC22A12
290,SLC34A1,https://mygene2.org/MyGene2/variantsbygene?gene=SLC34A1,2,N,"Explained, known phenotype",https://mygene2.org/MyGene2/matchreport?q=SLC34A1
291,SLC6A1,https://mygene2.org/MyGene2/variantsbygene?gene=SLC6A1,2,,,
292,SLIT2,https://mygene2.org/MyGene2/variantsbygene?gene=SLIT2,2,,,
293,SMAD4,https://mygene2.org/MyGene2/variantsbygene?gene=SMAD4,2,,,
294,SMARCA2,https://mygene2.org/MyGene2/variantsbygene?gene=SMARCA2,2,,,
295,SMARCC2,https://mygene2.org/MyGene2/variantsbygene?gene=SMARCC2,2,,,
296,SMC1A,https://mygene2.org/MyGene2/variantsbygene?gene=SMC1A,2,N,"Explained, known phenotype",https://mygene2.org/MyGene2/matchreport?q=SMC1A
297,SNX16,https://mygene2.org/MyGene2/variantsbygene?gene=SNX16,2,Y,Novel phenotype,https://mygene2.org/MyGene2/matchreport?q=SNX16
298,SON,https://mygene2.org/MyGene2/variantsbygene?gene=SON,2,,,
299,SORL1,https://mygene2.org/MyGene2/variantsbygene?gene=SORL1,2,,,
300,SPOP,https://mygene2.org/MyGene2/variantsbygene?gene=SPOP,2,,,
301,SPTBN5,https://mygene2.org/MyGene2/variantsbygene?gene=SPTBN5,2,,,
302,SQSTM1,https://mygene2.org/MyGene2/variantsbygene?gene=SQSTM1,2,N,"Explained, known phenotype",https://mygene2.org/MyGene2/matchreport?q=SQSTM1
303,SRPK3,https://mygene2.org/MyGene2/variantsbygene?gene=SRPK3,2,Y,Novel phenotype,https://mygene2.org/MyGene2/matchreport?q=SRPK3
304,SS18L1,https://mygene2.org/MyGene2/variantsbygene?gene=SS18L1,2,,,
305,SSPO,https://mygene2.org/MyGene2/variantsbygene?gene=SSPO,2,Y,Novel phenotype,https://mygene2.org/MyGene2/matchreport?q=SSPO
306,STAB1,https://mygene2.org/MyGene2/variantsbygene?gene=STAB1,2,Y,Novel phenotype,https://mygene2.org/MyGene2/matchreport?q=STAB1
307,STAG1,https://mygene2.org/MyGene2/variantsbygene?gene=STAG1,2,,,
308,SUMO2,https://mygene2.org/MyGene2/variantsbygene?gene=SUMO2,2,,,
309,TAF4,https://mygene2.org/MyGene2/variantsbygene?gene=TAF4,2,Y,Novel phenotype,https://mygene2.org/MyGene2/matchreport?q=TAF4
310,TBCD,https://mygene2.org/MyGene2/variantsbygene?gene=TBCD,2,N,"Explained, known phenotype",https://mygene2.org/MyGene2/matchreport?q=TBCD
311,TBL1XR1,https://mygene2.org/MyGene2/variantsbygene?gene=TBL1XR1,2,,,
312,TCF7L1,https://mygene2.org/MyGene2/variantsbygene?gene=TCF7L1,2,,,
313,TCIRG1,https://mygene2.org/MyGene2/variantsbygene?gene=TCIRG1,2,N,"Explained, known phenotype",https://mygene2.org/MyGene2/matchreport?q=TCIRG1
314,TENM4,https://mygene2.org/MyGene2/variantsbygene?gene=TENM4,2,,,
315,TET3,https://mygene2.org/MyGene2/variantsbygene?gene=TET3,2,,,
316,TJP2,https://mygene2.org/MyGene2/variantsbygene?gene=TJP2,2,N,"Explained, known phenotype",https://mygene2.org/MyGene2/matchreport?q=TJP2
317,TJP3,https://mygene2.org/MyGene2/variantsbygene?gene=TJP3,2,,,
318,TNFSF18,https://mygene2.org/MyGene2/variantsbygene?gene=TNFSF18,2,,,
319,TNXB,https://mygene2.org/MyGene2/variantsbygene?gene=TNXB,2,,,
320,TRAPPC11,https://mygene2.org/MyGene2/variantsbygene?gene=TRAPPC11,2,N,"Explained, known phenotype",https://mygene2.org/MyGene2/matchreport?q=TRAPPC11
321,TRPM2,https://mygene2.org/MyGene2/variantsbygene?gene=TRPM2,2,,,
322,TTC21B,https://mygene2.org/MyGene2/variantsbygene?gene=TTC21B,2,N,Novel phenotype,https://mygene2.org/MyGene2/matchreport?q=TTC21B
323,TYMP,https://mygene2.org/MyGene2/variantsbygene?gene=TYMP,2,,,
324,UNC13D,https://mygene2.org/MyGene2/variantsbygene?gene=UNC13D,2,N,"Explained, known phenotype",https://mygene2.org/MyGene2/matchreport?q=UNC13D
325,USP9X,https://mygene2.org/MyGene2/variantsbygene?gene=USP9X,2,,,
326,VAC14,https://mygene2.org/MyGene2/variantsbygene?gene=VAC14,2,,,
327,VARS,https://mygene2.org/MyGene2/variantsbygene?gene=VARS,2,,,
328,WDR19,https://mygene2.org/MyGene2/variantsbygene?gene=WDR19,2,,,
329,WFS1,https://mygene2.org/MyGene2/variantsbygene?gene=WFS1,2,,,
330,XYLT1,https://mygene2.org/MyGene2/variantsbygene?gene=XYLT1,2,,,
331,ZC3H4,https://mygene2.org/MyGene2/variantsbygene?gene=ZC3H4,2,,,
332,ZMYND11,https://mygene2.org/MyGene2/variantsbygene?gene=ZMYND11,2,,,
333,ZNF462,https://mygene2.org/MyGene2/variantsbygene?gene=ZNF462,2,N,"Explained, known phenotype",https://mygene2.org/MyGene2/matchreport?q=ZNF462
334,A2ML1,https://mygene2.org/MyGene2/variantsbygene?gene=A2ML1,1,,,
335,AACS,https://mygene2.org/MyGene2/variantsbygene?gene=AACS,1,,,
336,ABCA10,https://mygene2.org/MyGene2/variantsbygene?gene=ABCA10,1,,,
337,ABCA4,https://mygene2.org/MyGene2/variantsbygene?gene=ABCA4,1,,,
338,ABCA6,https://mygene2.org/MyGene2/variantsbygene?gene=ABCA6,1,,,
339,ABCB4,https://mygene2.org/MyGene2/variantsbygene?gene=ABCB4,1,,,
340,ABCC8,https://mygene2.org/MyGene2/variantsbygene?gene=ABCC8,1,,,
341,ABCC9,https://mygene2.org/MyGene2/variantsbygene?gene=ABCC9,1,,,
342,ABCD1,https://mygene2.org/MyGene2/variantsbygene?gene=ABCD1,1,,,
343,ABL1,https://mygene2.org/MyGene2/variantsbygene?gene=ABL1,1,,,
344,ABLIM3,https://mygene2.org/MyGene2/variantsbygene?gene=ABLIM3,1,,,
345,ACAN,https://mygene2.org/MyGene2/variantsbygene?gene=ACAN,1,,,
346,ACO2,https://mygene2.org/MyGene2/variantsbygene?gene=ACO2,1,,,
347,ACSS2,https://mygene2.org/MyGene2/variantsbygene?gene=ACSS2,1,,,
348,ACTB,https://mygene2.org/MyGene2/variantsbygene?gene=ACTB,1,,,
349,ACTL6B,https://mygene2.org/MyGene2/variantsbygene?gene=ACTL6B,1,,,
350,ADAM10,https://mygene2.org/MyGene2/variantsbygene?gene=ADAM10,1,,,
351,ADAM19,https://mygene2.org/MyGene2/variantsbygene?gene=ADAM19,1,,,
352,ADAM22,https://mygene2.org/MyGene2/variantsbygene?gene=ADAM22,1,,,
353,ADAMTS13,https://mygene2.org/MyGene2/variantsbygene?gene=ADAMTS13,1,,,
354,ADAMTS2,https://mygene2.org/MyGene2/variantsbygene?gene=ADAMTS2,1,,,
355,ADAMTS9,https://mygene2.org/MyGene2/variantsbygene?gene=ADAMTS9,1,,,
356,ADAMTSL3,https://mygene2.org/MyGene2/variantsbygene?gene=ADAMTSL3,1,,,
357,ADAMTSL4,https://mygene2.org/MyGene2/variantsbygene?gene=ADAMTSL4,1,,,
358,ADCY1,https://mygene2.org/MyGene2/variantsbygene?gene=ADCY1,1,,,
359,ADCY2,https://mygene2.org/MyGene2/variantsbygene?gene=ADCY2,1,,,
360,ADGRG4,https://mygene2.org/MyGene2/variantsbygene?gene=ADGRG4,1,,,
361,ADGRL1,https://mygene2.org/MyGene2/variantsbygene?gene=ADGRL1,1,,,
362,ADGRL3,https://mygene2.org/MyGene2/variantsbygene?gene=ADGRL3,1,,,
363,ADH7,https://mygene2.org/MyGene2/variantsbygene?gene=ADH7,1,,,
364,ADNP,https://mygene2.org/MyGene2/variantsbygene?gene=ADNP,1,,,
365,ADRA1B,https://mygene2.org/MyGene2/variantsbygene?gene=ADRA1B,1,,,
366,AFF3,https://mygene2.org/MyGene2/variantsbygene?gene=AFF3,1,,,
367,AFF4,https://mygene2.org/MyGene2/variantsbygene?gene=AFF4,1,,,
368,AGAP1,https://mygene2.org/MyGene2/variantsbygene?gene=AGAP1,1,,,
369,AGEL,https://mygene2.org/MyGene2/variantsbygene?gene=AGEL,1,,,
370,AGO1,https://mygene2.org/MyGene2/variantsbygene?gene=AGO1,1,,,
371,AGPAT3,https://mygene2.org/MyGene2/variantsbygene?gene=AGPAT3,1,,,
372,AGR2,https://mygene2.org/MyGene2/variantsbygene?gene=AGR2,1,,,
373,AGT,https://mygene2.org/MyGene2/variantsbygene?gene=AGT,1,,,
374,AHR,https://mygene2.org/MyGene2/variantsbygene?gene=AHR,1,,,
375,AIMP2,https://mygene2.org/MyGene2/variantsbygene?gene=AIMP2,1,,,
376,AK9,https://mygene2.org/MyGene2/variantsbygene?gene=AK9,1,,,
377,AKAP12,https://mygene2.org/MyGene2/variantsbygene?gene=AKAP12,1,,,
378,AKNA,https://mygene2.org/MyGene2/variantsbygene?gene=AKNA,1,,,
379,AKR1E2,https://mygene2.org/MyGene2/variantsbygene?gene=AKR1E2,1,,,
380,ALCAM,https://mygene2.org/MyGene2/variantsbygene?gene=ALCAM,1,,,
381,ALDH18A1,https://mygene2.org/MyGene2/variantsbygene?gene=ALDH18A1,1,,,
382,ALDH7A1,https://mygene2.org/MyGene2/variantsbygene?gene=ALDH7A1,1,,,
383,ALDOA,https://mygene2.org/MyGene2/variantsbygene?gene=ALDOA,1,,,
384,ALDOB,https://mygene2.org/MyGene2/variantsbygene?gene=ALDOB,1,,,
385,ALG1,https://mygene2.org/MyGene2/variantsbygene?gene=ALG1,1,,,
386,ALG11,https://mygene2.org/MyGene2/variantsbygene?gene=ALG11,1,,,
387,ALG13,https://mygene2.org/MyGene2/variantsbygene?gene=ALG13,1,,,
388,ALG8,https://mygene2.org/MyGene2/variantsbygene?gene=ALG8,1,,,
389,ALOXE3,https://mygene2.org/MyGene2/variantsbygene?gene=ALOXE3,1,,,
390,ALPL,https://mygene2.org/MyGene2/variantsbygene?gene=ALPL,1,,,
391,ALX1,https://mygene2.org/MyGene2/variantsbygene?gene=ALX1,1,,,
392,ALYREF,https://mygene2.org/MyGene2/variantsbygene?gene=ALYREF,1,,,
393,AMER1,https://mygene2.org/MyGene2/variantsbygene?gene=AMER1,1,,,
394,AMIGO3,https://mygene2.org/MyGene2/variantsbygene?gene=AMIGO3,1,,,
395,AMPD1,https://mygene2.org/MyGene2/variantsbygene?gene=AMPD1,1,,,
396,ANK2,https://mygene2.org/MyGene2/variantsbygene?gene=ANK2,1,,,
397,ANKRD36,https://mygene2.org/MyGene2/variantsbygene?gene=ANKRD36,1,,,
398,ANKRD44,https://mygene2.org/MyGene2/variantsbygene?gene=ANKRD44,1,,,
399,ANKRD46,https://mygene2.org/MyGene2/variantsbygene?gene=ANKRD46,1,,,
400,ANO1,https://mygene2.org/MyGene2/variantsbygene?gene=ANO1,1,,,
401,ANP32B,https://mygene2.org/MyGene2/variantsbygene?gene=ANP32B,1,,,
402,AP1M1,https://mygene2.org/MyGene2/variantsbygene?gene=AP1M1,1,,,
403,AP1S2,https://mygene2.org/MyGene2/variantsbygene?gene=AP1S2,1,,,
404,AP4B1,https://mygene2.org/MyGene2/variantsbygene?gene=AP4B1,1,,,
405,APC2,https://mygene2.org/MyGene2/variantsbygene?gene=APC2,1,,,
406,APLN,https://mygene2.org/MyGene2/variantsbygene?gene=APLN,1,,,
407,AQP2,https://mygene2.org/MyGene2/variantsbygene?gene=AQP2,1,,,
408,AR,https://mygene2.org/MyGene2/variantsbygene?gene=AR,1,,,
409,ARAP1,https://mygene2.org/MyGene2/variantsbygene?gene=ARAP1,1,,,
410,ARHGAP26,https://mygene2.org/MyGene2/variantsbygene?gene=ARHGAP26,1,,,
411,ARHGAP26-AS1,https://mygene2.org/MyGene2/variantsbygene?gene=ARHGAP26-AS1,1,,,
412,ARHGAP32,https://mygene2.org/MyGene2/variantsbygene?gene=ARHGAP32,1,,,
413,ARHGAP35,https://mygene2.org/MyGene2/variantsbygene?gene=ARHGAP35,1,,,
414,ARHGEF33,https://mygene2.org/MyGene2/variantsbygene?gene=ARHGEF33,1,,,
415,ARHGEF4,https://mygene2.org/MyGene2/variantsbygene?gene=ARHGEF4,1,,,
416,ARID1A,https://mygene2.org/MyGene2/variantsbygene?gene=ARID1A,1,,,
417,ARID4A,https://mygene2.org/MyGene2/variantsbygene?gene=ARID4A,1,,,
418,ARMC3,https://mygene2.org/MyGene2/variantsbygene?gene=ARMC3,1,,,
419,ASAH1,https://mygene2.org/MyGene2/variantsbygene?gene=ASAH1,1,,,
420,ASB16,https://mygene2.org/MyGene2/variantsbygene?gene=ASB16,1,,,
421,ASB8,https://mygene2.org/MyGene2/variantsbygene?gene=ASB8,1,,,
422,ASNA1,https://mygene2.org/MyGene2/variantsbygene?gene=ASNA1,1,,,
423,ATAD3A,https://mygene2.org/MyGene2/variantsbygene?gene=ATAD3A,1,,,
424,ATF6,https://mygene2.org/MyGene2/variantsbygene?gene=ATF6,1,,,
425,ATG4D,https://mygene2.org/MyGene2/variantsbygene?gene=ATG4D,1,,,
426,ATL2,https://mygene2.org/MyGene2/variantsbygene?gene=ATL2,1,,,
427,ATP11C,https://mygene2.org/MyGene2/variantsbygene?gene=ATP11C,1,,,
428,ATP2C1,https://mygene2.org/MyGene2/variantsbygene?gene=ATP2C1,1,,,
429,ATP2C2,https://mygene2.org/MyGene2/variantsbygene?gene=ATP2C2,1,,,
430,ATP5H,https://mygene2.org/MyGene2/variantsbygene?gene=ATP5H,1,,,
431,ATP7B,https://mygene2.org/MyGene2/variantsbygene?gene=ATP7B,1,,,
432,ATP8A1,https://mygene2.org/MyGene2/variantsbygene?gene=ATP8A1,1,,,
433,ATP8B4,https://mygene2.org/MyGene2/variantsbygene?gene=ATP8B4,1,,,
434,ATRAID,https://mygene2.org/MyGene2/variantsbygene?gene=ATRAID,1,,,
435,ATRX,https://mygene2.org/MyGene2/variantsbygene?gene=ATRX,1,,,
436,ATXN,https://mygene2.org/MyGene2/variantsbygene?gene=ATXN,1,,,
437,ATXN1,https://mygene2.org/MyGene2/variantsbygene?gene=ATXN1,1,,,
438,B3GALNT2,https://mygene2.org/MyGene2/variantsbygene?gene=B3GALNT2,1,,,
439,B3GAT2,https://mygene2.org/MyGene2/variantsbygene?gene=B3GAT2,1,Y,Novel phenotype,https://mygene2.org/MyGene2/matchreport?q=B3GAT2
440,BANF1,https://mygene2.org/MyGene2/variantsbygene?gene=BANF1,1,,,
441,BANK1,https://mygene2.org/MyGene2/variantsbygene?gene=BANK1,1,,,
442,BBS12,https://mygene2.org/MyGene2/variantsbygene?gene=BBS12,1,,,
443,BBS5,https://mygene2.org/MyGene2/variantsbygene?gene=BBS5,1,,,
444,BCAM,https://mygene2.org/MyGene2/variantsbygene?gene=BCAM,1,,,
445,BCAN,https://mygene2.org/MyGene2/variantsbygene?gene=BCAN,1,,,
446,BCAP31,https://mygene2.org/MyGene2/variantsbygene?gene=BCAP31,1,,,
447,BCL11B,https://mygene2.org/MyGene2/variantsbygene?gene=BCL11B,1,,,
448,BCL6B,https://mygene2.org/MyGene2/variantsbygene?gene=BCL6B,1,,,
449,BCLAF1,https://mygene2.org/MyGene2/variantsbygene?gene=BCLAF1,1,,,
450,BCOR,https://mygene2.org/MyGene2/variantsbygene?gene=BCOR,1,N,Novel phenotype,https://mygene2.org/MyGene2/matchreport?q=BCOR
451,BEST1,https://mygene2.org/MyGene2/variantsbygene?gene=BEST1,1,,,
452,BEST2,https://mygene2.org/MyGene2/variantsbygene?gene=BEST2,1,,,
453,BGN,https://mygene2.org/MyGene2/variantsbygene?gene=BGN,1,,,
454,BICRA,https://mygene2.org/MyGene2/variantsbygene?gene=BICRA,1,,,
455,BIRC6,https://mygene2.org/MyGene2/variantsbygene?gene=BIRC6,1,,,
456,BMP10,https://mygene2.org/MyGene2/variantsbygene?gene=BMP10,1,,,
457,BMPR2,https://mygene2.org/MyGene2/variantsbygene?gene=BMPR2,1,,,
458,BRAT1,https://mygene2.org/MyGene2/variantsbygene?gene=BRAT1,1,,,
459,BRCA1,https://mygene2.org/MyGene2/variantsbygene?gene=BRCA1,1,,,
460,BRD4,https://mygene2.org/MyGene2/variantsbygene?gene=BRD4,1,,,
461,BRICD5,https://mygene2.org/MyGene2/variantsbygene?gene=BRICD5,1,,,
462,BRIP1,https://mygene2.org/MyGene2/variantsbygene?gene=BRIP1,1,,,
463,BRPF1,https://mygene2.org/MyGene2/variantsbygene?gene=BRPF1,1,,,
464,BSDC1,https://mygene2.org/MyGene2/variantsbygene?gene=BSDC1,1,,,
465,BSN,https://mygene2.org/MyGene2/variantsbygene?gene=BSN,1,,,
466,BTBD7,https://mygene2.org/MyGene2/variantsbygene?gene=BTBD7,1,,,
467,BTD,https://mygene2.org/MyGene2/variantsbygene?gene=BTD,1,,,
468,C14orf159,https://mygene2.org/MyGene2/variantsbygene?gene=C14orf159,1,,,
469,C17orf62,https://mygene2.org/MyGene2/variantsbygene?gene=C17orf62,1,,,
470,C1R,https://mygene2.org/MyGene2/variantsbygene?gene=C1R,1,,,
471,C1S,https://mygene2.org/MyGene2/variantsbygene?gene=C1S,1,,,
472,C2CD4D,https://mygene2.org/MyGene2/variantsbygene?gene=C2CD4D,1,,,
473,C2orf61,https://mygene2.org/MyGene2/variantsbygene?gene=C2orf61,1,,,
474,C3ORF58,https://mygene2.org/MyGene2/variantsbygene?gene=C3ORF58,1,,,
475,C5ORF30,https://mygene2.org/MyGene2/variantsbygene?gene=C5ORF30,1,,,
476,C6ORF226,https://mygene2.org/MyGene2/variantsbygene?gene=C6ORF226,1,,,
477,CABLES1,https://mygene2.org/MyGene2/variantsbygene?gene=CABLES1,1,,,
478,CACHD1,https://mygene2.org/MyGene2/variantsbygene?gene=CACHD1,1,,,
479,CACNA1B,https://mygene2.org/MyGene2/variantsbygene?gene=CACNA1B,1,,,
480,CACNA1D,https://mygene2.org/MyGene2/variantsbygene?gene=CACNA1D,1,,,
481,CACNA1H,https://mygene2.org/MyGene2/variantsbygene?gene=CACNA1H,1,,,
482,CACNA2D2,https://mygene2.org/MyGene2/variantsbygene?gene=CACNA2D2,1,,,
483,CACNG7,https://mygene2.org/MyGene2/variantsbygene?gene=CACNG7,1,,,
484,CAD,https://mygene2.org/MyGene2/variantsbygene?gene=CAD,1,,,
485,CALCRL,https://mygene2.org/MyGene2/variantsbygene?gene=CALCRL,1,,,
486,CALM1,https://mygene2.org/MyGene2/variantsbygene?gene=CALM1,1,,,
487,CAMK2G,https://mygene2.org/MyGene2/variantsbygene?gene=CAMK2G,1,,,
488,CANT1,https://mygene2.org/MyGene2/variantsbygene?gene=CANT1,1,,,
489,CAPN6,https://mygene2.org/MyGene2/variantsbygene?gene=CAPN6,1,,,
490,CARD11,https://mygene2.org/MyGene2/variantsbygene?gene=CARD11,1,,,
491,CARNMT1,https://mygene2.org/MyGene2/variantsbygene?gene=CARNMT1,1,,,
492,CASC3,https://mygene2.org/MyGene2/variantsbygene?gene=CASC3,1,,,
493,CASK,https://mygene2.org/MyGene2/variantsbygene?gene=CASK,1,,,
494,CASKIN2,https://mygene2.org/MyGene2/variantsbygene?gene=CASKIN2,1,,,
495,CAV2,https://mygene2.org/MyGene2/variantsbygene?gene=CAV2,1,,,
496,CBY1,https://mygene2.org/MyGene2/variantsbygene?gene=CBY1,1,,,
497,CC2D1A,https://mygene2.org/MyGene2/variantsbygene?gene=CC2D1A,1,,,
498,CCDC61,https://mygene2.org/MyGene2/variantsbygene?gene=CCDC61,1,,,
499,CCT6A,https://mygene2.org/MyGene2/variantsbygene?gene=CCT6A,1,,,
500,CD19,https://mygene2.org/MyGene2/variantsbygene?gene=CD19,1,,,
501,CD84,https://mygene2.org/MyGene2/variantsbygene?gene=CD84,1,,,
502,CDC16,https://mygene2.org/MyGene2/variantsbygene?gene=CDC16,1,,,
503,CDC42,https://mygene2.org/MyGene2/variantsbygene?gene=CDC42,1,,,
504,CDC42BPA,https://mygene2.org/MyGene2/variantsbygene?gene=CDC42BPA,1,,,
505,CDCA2,https://mygene2.org/MyGene2/variantsbygene?gene=CDCA2,1,,,
506,CDH1,https://mygene2.org/MyGene2/variantsbygene?gene=CDH1,1,,,
507,CDH18,https://mygene2.org/MyGene2/variantsbygene?gene=CDH18,1,,,
